Nome,Posicao,nationality,matches,goals
Alberto Spencer,Centroavante,Equador,88,54
Fernando Morena,Centroavante,Uruguai,77,37
Pedro Rocha,Meia Ofensivo,Uruguai,89,36
Gabriel Barbosa,Centroavante,Brasil,60,31
Miguel Borja,Centroavante,Colômbia,67,31
Daniel Onega,Centroavante,Argentina,47,31
Lucas Pratto,Centroavante,Argentina,96,30
Julio Morales,Centroavante,Uruguai,76,30
Luizão,Centroavante,Brasil,43,29
Anthony de Ávila,Centroavante,Colômbia,94,29
Juan Sarnari,Atacante,Argentina,63,29
Alberto Acosta,Centroavante,Argentina,54,28
Luis Artime,Centroavante,Argentina,41,28
Oswaldo Ramírez,Ponta Esquerda,Perú,52,27
Carlos Tevez,Centroavante,Argentina,80,26
Juan Román Riquelme,Meia Ofensivo,Argentina,73,25
Fred,Centroavante,Brasil,43,25
Pedro,Centroavante,Brasil,47,25
Sebastián Abreu,Centroavante,Uruguai,31,25
Juan Carlos Sánchez,Meia Ofensivo,Bolívia,34,25
Rodrigo López,Centroavante,Uruguai,74,24
Palhinha,Meia Ofensivo,Brasil,31,24
Fernando Salinas,Atacante,Bolívia,42,24
Rony,Centroavante,Brasil,57,23
Bruno Henrique,Centroavante,Brasil,67,23
Martín Palermo,Centroavante,Argentina,44,23
Esteban Paredes,Centroavante,Chile,38,23
Víctor Aristizábal,Centroavante,Colômbia,44,23
Carlos Aguilera,Centroavante,Uruguai,46,23
Santiago Salcedo,Centroavante,Paraguai,45,22
Juan Manuel Battaglia,Meio-Campo,Paraguai,84,22
Raúl Amarilla,Centroavante,Paraguai,40,22
Célio,Atacante,Brasil,43,22
Jairzinho,Ponta Direita,Brasil,36,21
Paolo Guerrero,Centroavante,Perú,47,21
Ricardo Gareca,Centroavante,Argentina,44,21
Oscar Más,Ponta Esquerda,Argentina,47,21
Marcelo Delgado,Centroavante,Argentina,60,20
Raphael Veiga,Meia Ofensivo,Brasil,59,20
Germán Cano,Centroavante,Argentina,38,20
Ignacio Scocco,Centroavante,Argentina,41,20
Francisco Valdés,Meia Ofensivo,Chile,44,20
Víctor Hugo Antelo,Atacante,Bolívia,46,20
Júnior Sornoza,Meia Ofensivo,Equador,45,19
Guillermo Barros Schelotto,Centroavante,Argentina,54,19
Fidel Martínez,Ponta Esquerda,Equador,44,19
Juan Pablo Ángel,Centroavante,Colômbia,40,19
Francisco Palencia,Centroavante,México,42,19
Óscar Cardozo,Centroavante,Paraguai,46,19
Ricardo Oliveira,Centroavante,Brasil,34,19
Cuauhtémoc Blanco,Seg. Atacante,México,28,19
Mauro Boselli,Centroavante,Argentina,62,19
Hugo Talavera,Meio-Campo,Paraguai,69,19
Guilherme Alves,Centroavante,Brasil,27,19
Percy Rojas,Centroavante,Perú,53,19
Willington Ortiz,Seg. Atacante,Colômbia,92,19
Luis Monzón,Meio-Campo,Paraguai,59,19
Marcelinho Carioca,Meia Ofensivo,Brasil,48,18
Tita,Meia Ofensivo,Brasil,44,18
José Sand,Centroavante,Argentina,39,18
Ramón Ábila,Centroavante,Argentina,50,18
Salvador Cabañas,Centroavante,Paraguai,25,18
Sergio João,Centroavante,Brasil,22,18
Jorge Hirano,Seg. Atacante,Perú,55,18
Paulinho,Ponta Esquerda,Brasil,31,17
PeléCentroavante,,Brasil,15,17
Jonathan Calleri,Centroavante,Argentina,26,17
Robinho,Ponta Esquerda,Brasil,45,17
Marco Ruben,Centroavante,Argentina,27,17
Luis Cubilla,Ponta Direita,Uruguai,82,17
Ermindo Onega,Meia Ofensivo,Argentina,35,17
Adriano Samaniego,Atacante,Paraguai,49,17
Giorgian de Arrascaeta,Meia Ofensivo,Uruguai,90,16
Hulk,Centroavante,Brasil,43,16
Rafael Castellín,Centroavante,Venezuela,65,16
Santiago Silva,Centroavante,Uruguai,51,16
Zico,Meia Ofensivo,Brasil,21,16
Patricio Urrutia,Meia Central,Equador,52,16
Carlos Caszely,Centroavante,Chile,37,16
Richart Báez,Centroavante,Paraguai,30,16
Virgilio Ferreira,Centroavante,Paraguai,58,16
Pablo Bengoechea,Meia Ofensivo,Uruguai,59,16
Norberto Raffo,Atacante,Argentina,30,16
Néstor Scotta,Atacante,Argentina,34,16
Antonio Gonzalez,Atacante,Argentina,53,16
Alex,Meia Ofensivo,Brasil,46,15
Gustavo Scarpa,Meia Ofensivo,Brasil,43,15
Rafael Sóbis,Centroavante,Brasil,57,15
Rodrigo Palacio,Centroavante,Argentina,36,15
Enrique Triverio,Centroavante,Argentina,29,15
Diego Souza,Centroavante,Brasil,49,15
Leandro Damião,Centroavante,Brasil,30,15
Ernesto Farías,Centroavante,Argentina,27,15
Gonzalo Bergessio,Centroavante,Argentina,49,15
Jardel,Centroavante,Brasil,20,15
Omar Bravo,Centroavante,México,41,15
Jorge Soto,Lateral Dir.,Perú,81,15
Emanuel Herrera,Centroavante,Argentina,36,15
Gabriel Cedrés,Meia Ofensivo,Uruguai,70,15
Julinho,Seg. Atacante,Perú,60,15
Carlos Juárez,Centroavante,Equador,41,15
Roberto Palacios,Meia Ofensivo,Perú,65,15
Leonardo Moreno,Centroavante,Colômbia,33,15
Antonio Alzamendi,Ponta Direita,Uruguai,41,15
Ignacio Prieto,Volante,Chile,60,15
Héctor Silva,Atacante,Uruguai,43,15
Héctor Bailetti,Centroavante,Perú,43,15
Celino Mora,Meio-Campo,Paraguai,33,15
Miguel Loayza,Meio-Campo,Perú,31,15
Nacho Fernández,Meia Ofensivo,Argentina,96,14
Andrés D'Alessandro,Meia Ofensivo,Argentina,95,14
Hernán Barcos,Centroavante,Argentina,58,14
Neymar,Meia Ofensivo,Brasil,25,14
Julián Alvarez,Centroavante,Argentina,35,14
Thiago Ribeiro,Ponta Esquerda,Brasil,43,14
Adrián Martínez,Centroavante,Argentina,33,14
Mario Regueiro,Ponta Esquerda,Uruguai,36,14
Flavio Maestri,Centroavante,Perú,40,14
Darío Benedetto,Centroavante,Argentina,38,14
Rafael BorréCentroavante,,Colômbia,47,14
Juan Antonio Pizzi,Centroavante,Espanha,27,14
Luís Fabiano,Centroavante,Brasil,24,14
Sergio Galván Rey,Centroavante,Argentina,29,14
Willian Bigode,Seg. Atacante,Brasil,67,14
Fernando Zampedri,Centroavante,Chile,32,14
Washington,Centroavante,Brasil,28,14
Wilson Morelo,Centroavante,Colômbia,22,14
Rogério Ceni,Goleiro,Brasil,90,14
José Luis Calderón,Centroavante,Argentina,41,14
Límberg Gutiérrez,Meia Ofensivo,Bolívia,36,14
Mauro Caballero,Centroavante,Paraguai,68,14
Ricardo Pérez,Centroavante,Colômbia,29,14
Omar Pérez,Meia Ofensivo,Argentina,61,13
Luan,Meia Ofensivo,Brasil,43,13
Alejandro Chumacero,Meia Central,Bolívia,51,13
Ruberth Morán,Centroavante,Venezuela,31,13
Marcelo Salas,Centroavante,Chile,37,13
Kléber Pereira,Centroavante,Brasil,29,13
Rubén Espinoza,Defensores,Chile,50,13
Marcelo Ramos,Centroavante,Brasil,30,13
Dorlan Pabón,Ponta Direita,Colômbia,16,13
Gustavo Gómez,Zagueiro,Paraguai,75,13
Julio Dely Valdés,Centroavante,Panamá,25,13
Julián Vásquez,Centroavante,Colômbia,29,13
Carlos Borja,Meia Direita,Bolívia,87,13
Jorge da Silva,Centroavante,Uruguai,41,13
Teófilo Cubillas,Meia Ofensivo,Perú,17,13
José Sanfilippo,Centroavante,Argentina,13,13
Ernesto Vargas,Atacante,Uruguai,39,13
Juan Ramón Verón,Centroavante,Argentina,29,13
Juan de Lima,Centroavante,Uruguai,41,13
Saturnino Arrúa,Meia Ofensivo,Paraguai,28,13
Polo Carrera,Ponta Esquerda,Equador,39,13
Juan Joya,Ponta Esquerda,Uruguai,69,13
José Noriega,Meio-Campo,México,23,13
Ovidio Messa,Meio-Campo,Bolívia,32,13
Iroldo,Atacante,Brasil,29,13
Sergio Messen,Atacante,Chile,56,13
Alberto Benítez,Atacante,Argentina,33,13
Víctor Merello,Meio-Campo,Chile,40,13
Everton Ribeiro,Meia Ofensivo,Brasil,77,12
Pablo Escobar,Seg. Atacante,Bolívia,57,12
Francisco Arce,Lateral Dir.,Paraguai,79,12
Juan Manuel Martínez,Ponta Direita,Argentina,54,12
Juan Carlos Arce,Ponta Direita,Bolívia,58,12
Jádson,Meia Ofensivo,Brasil,26,12
Joffre Guerrón,Centroavante,Equador,36,12
Danilo,Meia Ofensivo,Brasil,83,12
Lucas Barrios,Centroavante,Paraguai,40,12
Paulo Nunes,Seg. Atacante,Brasil,50,12
Marcelo Gallardo,Meia Ofensivo,Argentina,62,12
Dayro Moreno,Centroavante,Colômbia,43,12
Luis Tejada,Centroavante,Panamá,25,12
Gustavo Bou,Centroavante,Argentina,23,12
Palhinha,Meia Central,Brasil,42,12
JôCentroavante,,Brasil,36,12
Antonio Barijho,Centroavante,Argentina,23,12
Roberto Nanni,Centroavante,Argentina,34,12
Edmundo,Seg. Atacante,Brasil,28,12
Enzo Francescoli,Centroavante,Uruguai,24,12
Roberto Cabañas,Centroavante,Paraguai,46,12
Hernán Crespo,Centroavante,Argentina,16,12
Diego Tardelli,Centroavante,Brasil,50,12
Juan Manuel Olivera,Centroavante,Uruguai,43,12
Gerardo Reinoso,Meio-Campo,Argentina,53,12
Pedro Pascual Peralta,Centroavante,Paraguai,42,12
Agustín Delgado,Centroavante,Equador,37,12
Antonio Pacheco,Seg. Atacante,Uruguai,64,12
José María Franco,Centroavante,Uruguai,20,12
José Castillo,Centroavante,Bolívia,27,12
Cléber ChaláPonta Esquerda,,Equador,39,12
Julio César Baldivieso,Meia Ofensivo,Bolívia,51,12
Iván Valenciano,Centroavante,Colômbia,24,12
Miguel Neira,Meio-Campo,Chile,37,12
Luis Bonnet,Centroavante,Argentina,40,12
Alberto Gallardo,Ponta Esquerda,Perú,28,12
Rubén Insúa,Meia Ofensivo,Argentina,37,12
Diego Aguirre,Centroavante,Uruguai,29,12
Raúl Savoy,Meio-Campo,Argentina,39,12
Arsenio Luzardo,Meia Central,Uruguai,37,12
Ángel Rojas,Atacante,Argentina,31,12
Néstor Isella,Meio-Campo,Argentina,30,12
Juan Almada,Atacante,Argentina,23,12
Benicio Ferreira,Atacante,Paraguai,20,12
Sergio Angulo,Centroavante,Colômbia,30,12
Vasconcelos,Meio-Campo,Brasil,27,12
Oscar Fabbiani,Atacante,Chile,15,12
Freddy Bareiro,Centroavante,Paraguai,65,11
Diego,Meia Ofensivo,Brasil,63,11
